ExperimentIndex,Availability,AverageSuccessLatency,AverageFailureLatency,SuccessRatio
0,0.900000,604.500545ms,451.515867ms,52.80%
1,0.901000,603.732ms,443.046188ms,53.00%
2,0.902000,602.712692ms,420.597367ms,53.10%
3,0.903000,607.733918ms,451.095096ms,52.70%
4,0.904000,604.706145ms,501.365947ms,54.30%
5,0.905000,603.956702ms,466.727896ms,51.00%
6,0.906000,601.748651ms,447.369288ms,52.30%
7,0.907000,607.450087ms,443.844312ms,55.20%
8,0.908000,604.950456ms,449.003776ms,54.50%
9,0.909000,600.592813ms,456.929492ms,54.40%
10,0.910000,603.024347ms,435.077667ms,54.10%
11,0.911000,605.503505ms,454.941526ms,59.30%
12,0.912000,607.270311ms,469.102118ms,55.80%
13,0.913000,605.712137ms,465.721366ms,54.90%
14,0.914000,603.771782ms,456.788509ms,58.90%
15,0.915000,604.495908ms,463.468598ms,58.00%
16,0.916000,604.159823ms,449.895471ms,58.90%
17,0.917000,602.673502ms,481.943018ms,58.60%
18,0.918000,603.569751ms,465.437745ms,57.40%
19,0.919000,603.750122ms,470.76812ms,59.10%
20,0.920000,602.38376ms,473.204938ms,60.60%
21,0.921000,607.445499ms,464.864161ms,57.70%
22,0.922000,601.954801ms,455.215818ms,59.50%
23,0.923000,606.461428ms,482.019499ms,60.10%
24,0.924000,603.896404ms,477.013497ms,60.50%
25,0.925000,603.122483ms,460.960272ms,59.90%
26,0.926000,601.308031ms,492.580544ms,59.10%
27,0.927000,605.131856ms,489.733699ms,62.20%
28,0.928000,605.629831ms,458.367318ms,61.70%
29,0.929000,607.416277ms,492.545984ms,61.60%
30,0.930000,607.249192ms,440.282378ms,62.50%
31,0.931000,604.199061ms,442.803089ms,63.50%
32,0.932000,607.48393ms,450.313849ms,62.80%
33,0.933000,606.848997ms,457.628795ms,65.50%
34,0.934000,602.851666ms,474.315108ms,61.40%
35,0.935000,608.892127ms,481.731173ms,63.50%
36,0.936000,605.041246ms,489.251111ms,66.50%
37,0.937000,603.073844ms,447.694066ms,67.20%
38,0.938000,604.091197ms,494.961648ms,65.80%
39,0.939000,601.677785ms,486.13303ms,65.30%
40,0.940000,604.078077ms,484.340953ms,67.80%
41,0.941000,604.587373ms,476.029163ms,65.20%
42,0.942000,604.923738ms,484.47854ms,66.90%
43,0.943000,607.702352ms,479.192251ms,68.20%
44,0.944000,604.767942ms,430.085614ms,67.70%
45,0.945000,606.689815ms,462.007463ms,69.80%
46,0.946000,603.899118ms,481.140625ms,67.00%
47,0.947000,604.142573ms,509.891565ms,69.70%
48,0.948000,605.878932ms,475.205131ms,72.40%
49,0.949000,604.49113ms,472.857809ms,70.60%
50,0.950000,605.20166ms,444.516394ms,73.60%
51,0.951000,602.590205ms,444.691889ms,72.20%
52,0.952000,604.486334ms,480.978852ms,72.10%
53,0.953000,602.519509ms,469.937902ms,73.60%
54,0.954000,606.818099ms,457.421553ms,72.60%
55,0.955000,608.138974ms,497.890545ms,77.50%
56,0.956000,604.712455ms,496.449658ms,73.90%
57,0.957000,604.478434ms,444.832907ms,74.50%
58,0.958000,604.913226ms,492.870401ms,73.80%
59,0.959000,603.572473ms,431.544012ms,77.10%
60,0.960000,606.191365ms,495.821261ms,77.70%
61,0.961000,604.840972ms,463.294675ms,77.50%
62,0.962000,603.150281ms,445.687428ms,77.50%
63,0.963000,603.82442ms,448.123566ms,77.70%
64,0.964000,606.195003ms,453.986131ms,80.70%
65,0.965000,605.759727ms,470.425461ms,79.10%
66,0.966000,603.920843ms,484.225179ms,80.20%
67,0.967000,602.538545ms,490.336153ms,79.70%
68,0.968000,601.720212ms,510.487682ms,80.30%
69,0.969000,604.898708ms,490.486799ms,78.50%
70,0.970000,604.300547ms,468.546986ms,80.80%
71,0.971000,604.482621ms,529.803028ms,82.70%
72,0.972000,605.600059ms,479.786168ms,81.70%
73,0.973000,604.311681ms,458.184057ms,82.00%
74,0.974000,602.22506ms,439.353612ms,80.00%
75,0.975000,603.815132ms,489.910519ms,84.30%
76,0.976000,604.341409ms,459.481003ms,84.50%
77,0.977000,604.732319ms,496.917178ms,83.30%
78,0.978000,605.05054ms,476.068035ms,83.30%
79,0.979000,603.454877ms,570.04397ms,86.70%
80,0.980000,603.1154ms,478.085622ms,87.10%
81,0.981000,605.09805ms,451.951324ms,86.30%
82,0.982000,604.537884ms,445.087578ms,86.00%
83,0.983000,602.524105ms,458.507258ms,89.90%
84,0.984000,603.634355ms,462.298911ms,88.10%
85,0.985000,603.86724ms,489.207713ms,86.70%
86,0.986000,604.840103ms,452.992822ms,89.60%
87,0.987000,605.626033ms,469.481779ms,89.90%
88,0.988000,603.655778ms,504.181239ms,89.50%
89,0.989000,606.73888ms,430.332536ms,91.00%
90,0.990000,606.558042ms,462.866594ms,91.30%
91,0.991000,604.202637ms,387.244804ms,92.80%
92,0.992000,602.406399ms,484.645985ms,93.30%
93,0.993000,604.171535ms,444.610275ms,94.20%
94,0.994000,603.813174ms,498.490378ms,92.60%
95,0.995000,604.191884ms,476.320704ms,93.90%
96,0.996000,606.336933ms,451.578125ms,96.00%
97,0.997000,603.685768ms,432.225574ms,94.80%
98,0.998000,601.0781ms,382.553522ms,95.40%
99,0.999000,607.265732ms,430.552273ms,97.30%
