ExperimentIndex,Availability,AverageSuccessLatency,AverageFailureLatency,SuccessRatio
0,0.900000,222.957891ms,421.220797ms,51.40%
1,0.901000,221.910481ms,419.080259ms,54.20%
2,0.902000,222.411995ms,417.155318ms,52.70%
3,0.903000,222.355957ms,417.320317ms,54.00%
4,0.904000,222.568678ms,419.975245ms,51.60%
5,0.905000,222.549721ms,415.996332ms,52.20%
6,0.906000,221.905271ms,419.961394ms,53.00%
7,0.907000,223.591873ms,417.989702ms,53.60%
8,0.908000,221.493616ms,419.886657ms,57.70%
9,0.909000,223.113198ms,420.643236ms,54.70%
10,0.910000,223.185434ms,421.338484ms,53.70%
11,0.911000,223.15915ms,421.423654ms,53.70%
12,0.912000,222.202395ms,422.654087ms,53.90%
13,0.913000,221.437748ms,420.223624ms,55.80%
14,0.914000,222.861653ms,419.656855ms,56.90%
15,0.915000,222.099801ms,418.194471ms,56.30%
16,0.916000,221.780361ms,416.265328ms,57.10%
17,0.917000,222.353565ms,419.056148ms,55.10%
18,0.918000,223.411696ms,423.861238ms,56.20%
19,0.919000,221.234462ms,421.270374ms,61.70%
20,0.920000,222.838477ms,419.127301ms,58.40%
21,0.921000,223.050638ms,416.682918ms,59.40%
22,0.922000,221.559244ms,424.144696ms,60.10%
23,0.923000,221.871093ms,420.408213ms,64.70%
24,0.924000,223.087629ms,425.26683ms,59.60%
25,0.925000,222.159439ms,425.703257ms,63.50%
26,0.926000,222.411781ms,423.004239ms,60.30%
27,0.927000,220.952398ms,422.199013ms,60.70%
28,0.928000,221.6986ms,422.076962ms,60.20%
29,0.929000,222.396739ms,428.282286ms,60.20%
30,0.930000,222.19052ms,426.267813ms,61.50%
31,0.931000,221.718338ms,422.477606ms,65.90%
32,0.932000,221.969783ms,426.385083ms,62.90%
33,0.933000,222.442147ms,424.222804ms,63.80%
34,0.934000,221.631132ms,422.279234ms,62.80%
35,0.935000,222.927356ms,427.236923ms,64.70%
36,0.936000,221.001056ms,422.456916ms,65.90%
37,0.937000,222.267636ms,427.328591ms,65.80%
38,0.938000,222.335303ms,428.439644ms,65.60%
39,0.939000,222.128871ms,421.428923ms,67.00%
40,0.940000,222.92948ms,428.511447ms,67.00%
41,0.941000,221.784762ms,424.544457ms,65.70%
42,0.942000,221.882234ms,422.049458ms,64.80%
43,0.943000,222.592735ms,427.189542ms,68.50%
44,0.944000,222.069659ms,425.347403ms,68.10%
45,0.945000,221.586699ms,423.760816ms,69.30%
46,0.946000,222.353416ms,425.492414ms,69.50%
47,0.947000,223.044849ms,428.365488ms,69.70%
48,0.948000,221.777267ms,427.963331ms,69.30%
49,0.949000,222.233057ms,428.697624ms,71.50%
50,0.950000,222.037031ms,424.854612ms,73.00%
51,0.951000,222.703203ms,425.516776ms,73.10%
52,0.952000,221.680833ms,428.250993ms,72.20%
53,0.953000,221.492796ms,426.49627ms,75.00%
54,0.954000,221.596145ms,427.423075ms,73.10%
55,0.955000,222.992368ms,428.822834ms,73.60%
56,0.956000,223.062741ms,431.520501ms,74.10%
57,0.957000,224.362758ms,429.119439ms,74.00%
58,0.958000,221.730659ms,428.533407ms,75.00%
59,0.959000,221.616326ms,425.555882ms,76.40%
60,0.960000,222.974094ms,428.228999ms,76.20%
61,0.961000,221.37111ms,426.483432ms,76.30%
62,0.962000,223.523412ms,430.484124ms,75.40%
63,0.963000,223.246937ms,429.13544ms,76.70%
64,0.964000,222.209113ms,432.015762ms,79.40%
65,0.965000,223.38094ms,431.853017ms,77.10%
66,0.966000,222.688834ms,430.791294ms,77.10%
67,0.967000,223.25477ms,429.813727ms,79.00%
68,0.968000,221.770017ms,431.952152ms,81.20%
69,0.969000,222.077256ms,430.706648ms,81.00%
70,0.970000,221.869786ms,430.11132ms,81.90%
71,0.971000,221.812429ms,432.29288ms,80.30%
72,0.972000,222.93793ms,432.852625ms,82.20%
73,0.973000,222.434096ms,431.999326ms,83.80%
74,0.974000,222.987184ms,429.81656ms,81.40%
75,0.975000,222.235067ms,433.668589ms,84.60%
76,0.976000,221.783185ms,428.912359ms,84.70%
77,0.977000,222.713213ms,426.196488ms,86.30%
78,0.978000,222.958285ms,428.956164ms,84.00%
79,0.979000,222.352813ms,431.556543ms,85.50%
80,0.980000,222.967673ms,428.95087ms,85.10%
81,0.981000,222.594549ms,429.669421ms,88.70%
82,0.982000,220.929213ms,430.967759ms,85.80%
83,0.983000,222.078148ms,430.156373ms,89.00%
84,0.984000,221.305236ms,433.137171ms,88.10%
85,0.985000,221.874241ms,436.682721ms,89.10%
86,0.986000,221.663643ms,425.63882ms,89.40%
87,0.987000,223.074748ms,426.228518ms,88.10%
88,0.988000,222.173074ms,428.204125ms,89.80%
89,0.989000,222.106083ms,437.619977ms,91.50%
90,0.990000,223.252704ms,437.06572ms,90.60%
91,0.991000,221.187921ms,435.154196ms,91.60%
92,0.992000,221.049941ms,432.553941ms,92.60%
93,0.993000,221.515608ms,426.866243ms,92.60%
94,0.994000,222.114801ms,428.965741ms,93.30%
95,0.995000,222.326063ms,430.705901ms,93.40%
96,0.996000,222.868062ms,436.007469ms,95.10%
97,0.997000,223.362665ms,427.643408ms,95.50%
98,0.998000,222.700813ms,426.968773ms,97.20%
99,0.999000,222.510368ms,430.649776ms,97.20%
